"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证删除不存在的绑定时的错误处理","6","删除不存在的绑定（异常测试）","testcase","Fri May 01 17:21:40 UTC 2026","passed","Fri May 01 17:21:40 UTC 2026","TestGatewayDeviceBinding","test_gateway_binding","",""
"
测试点：创建网关接口是否能成功返回 200 且包含 ID
","134","正常创建MQTT网关","testcase","Fri May 01 17:21:14 UTC 2026","passed","Fri May 01 17:21:14 UTC 2026","TestNetworkConfig","test_api_network_config","",""
"测试在测试函数内部手动调用禁用接口，并验证其效果","27","手动禁用告警（ID：2050264293846622208）","testcase","Fri May 01 17:21:14 UTC 2026","passed","Fri May 01 17:21:14 UTC 2026","TestAlarmManagement","test_alarm","",""
"验证绑定的完整生命周期：创建 - 查询 - 禁用 - 删除","64","绑定生命周期完整测试","testcase","Fri May 01 17:21:39 UTC 2026","passed","Fri May 01 17:21:39 UTC 2026","TestGatewayDeviceBinding","test_gateway_binding","",""
"验证删除不存在的网关ID，接口如何处理","8","删除不存在的网关 - 幂等性验证","testcase","Fri May 01 17:21:15 UTC 2026","passed","Fri May 01 17:21:15 UTC 2026","TestNetworkConfig","test_api_network_config","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","12","字段健壮性测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","13","字段健壮性测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"验证创建的绑定体出现在列表中","42","查询绑定列表并验证","testcase","Fri May 01 17:21:38 UTC 2026","passed","Fri May 01 17:21:38 UTC 2026","TestGatewayDeviceBinding","test_gateway_binding","",""
"验证创建同名网关的业务逻辑（名称可重复，ID唯一）","71","创建同名网关 - 唯一性约束测试","testcase","Fri May 01 17:21:15 UTC 2026","passed","Fri May 01 17:21:16 UTC 2026","TestNetworkConfig","test_api_network_config","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","14","字段健壮性测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"验证获取详情接口是否返回正确数据结构","8","获取网关详情 - 结构验证","testcase","Fri May 01 17:21:15 UTC 2026","passed","Fri May 01 17:21:15 UTC 2026","TestNetworkConfig","test_api_network_config","",""
"验证系统能正确拒绝未携带Token的请求","4","未授权访问测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试修改告警的名称和描述字段","56","修改告警名称和描述（ID：2050264294173777920）","testcase","Fri May 01 17:21:14 UTC 2026","passed","Fri May 01 17:21:14 UTC 2026","TestAlarmManagement","test_alarm","",""
"测试系统对SQL注入，XSS，命令注入等安全攻击的防护能力","4","安全注入测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","5","字段健壮性测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","13","字段健壮性测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试各种登录失败场景，包括错误密码，空值，不存在用户等","4","登录失败场景测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"
        测试告警的完整生命周期：
        1. 使用 fixture 创建一个新告警。
        2. 验证 fixture 返回的告警 ID 有效。
        3. 测试结束后，由 fixture 自动清理（禁用并删除）告警。
        ","20","正常创建并验证告警：（ID：2050264293246836736）","testcase","Fri May 01 17:21:14 UTC 2026","passed","Fri May 01 17:21:14 UTC 2026","TestAlarmManagement","test_alarm","",""
"验证创建网关协议绑定的基本功能","76","正常创建网关协议绑定","testcase","Fri May 01 17:21:38 UTC 2026","passed","Fri May 01 17:21:38 UTC 2026","TestGatewayDeviceBinding","test_gateway_binding","",""
"测试各种登录失败场景，包括错误密码，空值，不存在用户等","6","登录失败场景测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"设备通过MQTT上报数据，平台能查询到最新数据","61","设备数据上行验证","testcase","Fri May 01 17:21:33 UTC 2026","passed","Fri May 01 17:21:33 UTC 2026","TestDevice","test_device","",""
"验证删除网关接口能否正常工作","32","正常删除网关","testcase","Fri May 01 17:21:15 UTC 2026","passed","Fri May 01 17:21:15 UTC 2026","TestNetworkConfig","test_api_network_config","",""
"测试各种登录失败场景，包括错误密码，空值，不存在用户等","6","登录失败场景测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"","16020","test_mqtt_concurrent_load","testcase","Fri May 01 17:21:43 UTC 2026","failed","Fri May 01 17:21:59 UTC 2026","","test_load","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","13","字段健壮性测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","14","字段健壮性测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","12","字段健壮性测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
